URL,Title,Author,Genres
https://www.goodreads.com/book/show/19150484,মধ্যযুগের সাহিত্যে সমাজ ও সংস্কৃতির রূপ,Ahmed Sharif,N/A
https://www.goodreads.com/book/show/33817659-selected-poems-vol-iv,"Selected Poems, Vol. IV",Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/215366139-atma-smriti,Atma Smriti,Abanindranath Tagore,N/A
https://www.goodreads.com/book/show/171376701,নবজন্ম,Gajendrakumar Mitra,N/A
https://www.goodreads.com/book/show/57150745,নবাবগন্জের নরখাদক,Samaresh Majumdar,N/A
https://www.goodreads.com/book/show/142565438-manik-bandopadhyay-srestha-galpo,Manik Bandopadhyay srestha galpo,Manik Bandopadhyay,N/A
https://www.goodreads.com/book/show/20497587,কালো মানুষ নীল চোখ,Syed Mustafa Siraj,N/A
https://www.goodreads.com/book/show/98839403-chara-sangraha,CHARA SANGRAHA,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/59665838,রেখায় সত্যজিৎ লেখায় সুনীল,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/55384547,সংসারে এক সন্ন্যাসী,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/142985658-feludar-saptakanda-by-satyajit-ray,Feludar Saptakanda by Satyajit Ray,Satyajit Ray,N/A
https://www.goodreads.com/book/show/61842719-golpo-songroho,Golpo Songroho: গল্প সংগ্রহ,Manik Bandopadhyay,N/A
https://www.goodreads.com/book/show/22547124,मीठ आणि इतर कथा,Mahasweta Devi,N/A
https://www.goodreads.com/book/show/109061202-alapchari-ahmed-sharif,Alapchari Ahmed Sharif,Ahmed Sharif,N/A
https://www.goodreads.com/book/show/168201709-the-king-of-the-dark-chamber,The King of the Dark Chamber,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/38582077,সোনালী,Nimai Bhattacharya,N/A
https://www.goodreads.com/book/show/1767461._,চতুরঙ্গ,Rabindranath Tagore,"Classics, Novels, Fiction"
https://www.goodreads.com/book/show/98837741-babubritanta-o-prasangik,BABUBRITANTA O PRASANGIK,Samar Sen,N/A
https://www.goodreads.com/book/show/36335904,নির্বাচিত প্রবন্ধ,Humayun Azad,N/A
https://www.goodreads.com/book/show/21518347,দুই নারী হাতে তরবারি,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/40781277,নির্বাচিত কবিতা,Kazi Nazrul Islam,N/A
https://www.goodreads.com/book/show/34919479,নীড় সন্ধানী,Anwar Pasha,N/A
https://www.goodreads.com/book/show/51113696-the-bucket-list-collection,"The Bucket List Collection: Masterpieces You Should Read Before You Die: Leaves of Grass, Siddhartha, Dubliners, Les Misérables, Don Quixote, Art of War, Middlemarch, Swann's Way…",Henry David Thoreau,N/A
https://www.goodreads.com/book/show/21569335,সমাগত বসন্ত,Protiva Bose,N/A
https://www.goodreads.com/book/show/18373905,নদীর ওপার,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/213571844-200-quick-and-easy-delicious-healthy-breakfast-ideas-to-start-your-day,200 Quick and Easy Delicious & Healthy Breakfast Ideas to Start Your Day Off Right: These simple breakfast recipes are the perfect way to kick off your morning,Sukanta Bhattacharya,N/A
https://www.goodreads.com/book/show/61095771-los-relatos-m-s-bellos-del-mundo,Los relatos más bellos del mundo,Pedro Laín Entralgo,N/A
https://www.goodreads.com/book/show/142709451-rabindra-upanyas-samagra-part---2,RABINDRA UPANYAS SAMAGRA PART - 2,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/49223629,মানুষের উপকার করো!,Shibram Chakraborty,N/A
https://www.goodreads.com/book/show/38716943,দাঙ্গার প্রতিবেদন,Debesh Roy,N/A
https://www.goodreads.com/book/show/134509763-obra-escojida-lirica-breve-teatro-cuento-aforismo-escuela,"OBRA ESCOJIDA. LIRICA BREVE, TEATRO, CUENTO, AFORISMO, ESCUELA.",Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/42108101-swadeshi-samaj,Swadeshi Samaj,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/142528322,মনোজদের অদ্ভুত বাড়ি,Shirshendu Mukhopadhyay,N/A
https://www.goodreads.com/book/show/139977939-upanyas-samagra-6,Upanyas Samagra-6 | উপন্যাস সমগ্র ৬,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/8547493,নিশীথিনী,Humayun Ahmed,"Fiction, Horror, Mystery"
https://www.goodreads.com/book/show/59915620,চিৎকারসমগ্র,Malay Roy Choudhury,N/A
https://www.goodreads.com/book/show/34483405-eng-nante-fante-hurrah,Eng Nante Fante Hurrah,Narayan Debnath,N/A
https://www.goodreads.com/book/show/38895410,সব ঝুট হ্যায়,Bimal Mitra,N/A
https://www.goodreads.com/book/show/29234632,दुर्घटना,Mahasweta Devi,N/A
https://www.goodreads.com/book/show/36374608,উপনিবেশ,Narayan Gangopadhyay,N/A
https://www.goodreads.com/book/show/206362305-eent-ke-upar-eent---hindi,Eent ke upar Eent - Hindi,Mahasweta Devi,N/A
https://www.goodreads.com/book/show/89509812-ja-kichu-oprotttashito,Ja Kichu Oprotttashito,Rabeya Khatun,N/A
https://www.goodreads.com/book/show/20571509,একশ বছরের সেরা ভৌতিক,Shirshendu Mukhopadhyay,Short Stories
https://www.goodreads.com/book/show/109062155-satjon,সাতজন | Satjon,Hasnat Abdul Hye - হাসনাত আবদুল হাই,N/A
https://www.goodreads.com/book/show/21395782,ক্রন্দসী,Sudhindranath Dutta,N/A
https://www.goodreads.com/book/show/55359140,শহরের ইতিকথা,Satyen Sen,N/A
https://www.goodreads.com/book/show/670686._,শঙ্কু সমগ্র,Satyajit Ray,"Science Fiction, Adventure, Fiction"
https://www.goodreads.com/book/show/59631804,Избранное,Rabindranath Tagore,N/A
